Date,Hs,Hs_hat
14/02/2007 16:30,0.94,0.282
14/02/2007 17:30,0.16,0.048
14/02/2007 18:30,0.2,0.06
14/02/2007 19:30,0.23,0.069
14/02/2007 20:30,0.23,0.069
14/02/2007 21:30,0.31,0.093
14/02/2007 22:30,0.47,0.141
14/02/2007 23:30,0.43,0.129
15/02/2007 00:30,0.55,0.165
15/02/2007 01:30,0.55,0.165
15/02/2007 02:30,0.51,0.153
15/02/2007 03:30,0.51,0.153
15/02/2007 04:30,0.51,0.153
15/02/2007 05:30,0.51,0.153
15/02/2007 06:30,0.51,0.153
15/02/2007 07:30,0.55,0.165
15/02/2007 08:30,0.63,0.189
15/02/2007 09:30,0.66,0.198
15/02/2007 10:30,0.66,0.198
15/02/2007 11:30,0.82,0.246
15/02/2007 12:30,0.82,0.246
15/02/2007 13:30,0.78,0.234
15/02/2007 14:30,0.74,0.222
15/02/2007 15:30,0.74,0.222
15/02/2007 16:30,0.78,0.234
15/02/2007 17:30,0.7,0.21
15/02/2007 18:30,0.74,0.222
15/02/2007 19:30,0.7,0.21
15/02/2007 20:30,0.78,0.234
15/02/2007 21:30,0.82,0.246
15/02/2007 22:30,0.98,0.294
15/02/2007 23:30,1.13,0.339
16/02/2007 00:30,1.09,0.327
16/02/2007 01:30,0.9,0.27
16/02/2007 02:30,0.7,0.21
16/02/2007 03:30,0.74,0.222
16/02/2007 04:30,0.7,0.21
16/02/2007 05:30,0.63,0.189
16/02/2007 06:30,0.55,0.165
16/02/2007 07:30,0.51,0.153
16/02/2007 08:30,0.47,0.141
16/02/2007 09:30,0.43,0.129
16/02/2007 10:30,0.43,0.129
16/02/2007 11:30,0.39,0.117
16/02/2007 12:30,0.35,0.105
16/02/2007 13:30,0.31,0.093
16/02/2007 14:30,0.27,0.081
16/02/2007 15:30,0.27,0.081
16/02/2007 16:30,0.23,0.069
16/02/2007 17:30,0.2,0.06
16/02/2007 18:30,0.2,0.06
16/02/2007 19:30,0.16,0.048
16/02/2007 20:30,0.16,0.048
16/02/2007 21:30,0.16,0.048
16/02/2007 22:30,0.12,0.036
16/02/2007 23:30,0.12,0.036
17/02/2007 00:30,0.12,0.036
17/02/2007 01:30,0.08,0.024
17/02/2007 02:30,0.12,0.036
17/02/2007 03:30,0.12,0.036
17/02/2007 04:30,0.12,0.036
17/02/2007 05:30,0.12,0.036
17/02/2007 06:30,0.2,0.06
17/02/2007 07:30,0.23,0.069
17/02/2007 08:30,0.35,0.105
17/02/2007 09:30,0.43,0.129
17/02/2007 10:30,0.39,0.117
17/02/2007 11:30,0.51,0.153
17/02/2007 12:30,0.51,0.153
17/02/2007 13:30,0.74,0.222
17/02/2007 14:30,0.74,0.222
17/02/2007 15:30,0.434260406,0.130278122
17/02/2007 16:30,0.78,0.234
17/02/2007 17:30,0.82,0.246
17/02/2007 18:30,0.86,0.258
17/02/2007 19:30,0.98,0.294
17/02/2007 20:30,1.13,0.339
17/02/2007 21:30,1.25,0.375
17/02/2007 22:30,1.52,0.456
17/02/2007 23:30,1.64,0.492
18/02/2007 00:30,1.37,0.411
18/02/2007 01:30,1.33,0.399
18/02/2007 02:30,1.25,0.375
18/02/2007 03:30,1.09,0.327
18/02/2007 04:30,0.98,0.294
18/02/2007 05:30,0.82,0.246
