Id,location,date,month,day,Mw,L [km],W [km],fm,*,source,
1,S. California,1857,1,9,7.86,380,12,ss,,S,
2,San Francisco,1906,4,18,7.7,450,10,ss,,S,
3,Avezzano,1915,1,13,6.62,24,15,n,,W&C ,
4,Kanto,1923,9,1,8.1,130,70,r,x,G,
4,Kanto,1923,9,1,7.89,130,70,r,x,M&B ,
5,Tango,1927,3,7,7.08,35,,ss,,W&C ,
5,Tango,1927,3,7,7.07,35,13,ss,,G,
6,North Izu,1930,11,25,6.89,22,12,ss,,W&C ,
6,North Izu,1930,11,25,6.83,20,11,ss,,M&B ,
7,Hawkes Bay,1931,2,2,7.73,110,,r,,W&C ,
8,Saitama,1931,9,21,6.52,20,10,ss,,W&C ,
9,Cedar Mountain,1932,12,21,6.83,80,,ss,,W&C ,
10,Saitama,1933,3,2,8.39,185,100,n,,G,
11,Long Beach,1933,3,11,6.38,23,13,ss,x,W&C ,
11,Long Beach,1933,3,11,6.26,30,15,ss,x,G,
12,Long Beach,1933,9,21,6.52,20,10,ss,,G,
13,South Izu,1934,3,21,5.29,7,4,ss,x,W&C ,
14,Ercinacan,1939,12,26,7.74,350,15,ss,,S,
15,Imperial Valley,1940,5,19,6.92,45,11,ss,,W&C ,
15,Imperial Valley,1940,5,19,7.09,70,11,ss,,G,
15,Imperial Valley,1940,5,19,6.87,60,10,ss,,S,
16,Erbaa Niksar,1942,12,20,7,70,15,ss,,S,
17,Sikano,1943,9,10,7,33,13,ss,,W&C ,
17,Tottori,1943,9,10,7,33,13,ss,,G,
18,Gerede-Bolu,1944,2,1,7.55,190,15,ss,,S,
19,Tonankai,1944,12,7,8.08,120,80,r,x,G,
20,Mikawa,1945,1,12,6.59,12,11,r,,G,
21,Ancash,1946,11,10,7.28,28,30,n,,W&C ,
22,Nankaido,1946,12,20,8.08,120,80,r,x,G,
23,Fukui,1948,6,28,6.98,30,13,ss,x,W&C ,
23,Fukui,1948,6,28,7,30,13,ss,x,G,
24,Desert Hot Spring,1948,12,4,5.97,15,16,ss,,W&C ,
25,Damxung,1951,11,18,7.67,200,10,ss,,W&C ,
26,Tokachi-Oki,1952,3,4,8.12,180,100,r,x,G,
27,Kern County,1952,7,21,7.38,64,19,r,,W&C ,
27,Kern County ,1952,7,21,7.5,60,18,r,,G,
28,Kamchatka,1952,11,4,9,450,175,r,x,S,
29,G``onen-Yenice,1953,3,18,7.21,58,15,ss,,S,
30,Arroyo Salada,1954,3,19,6.27,15,12,ss,,W&C ,
31,Rainbow Mtn.,1954,7,6,6.22,11,14,n,,W&C ,
32,Stillwater,1954,8,24,6.55,26,14,n,,W&C ,
33,Algeria,1954,9,9,6.5,30,10,r,,K,
34,Fairview Peak,1954,12,16,6.94,42,14,ss,,W&C,
34,Fairview,1954,12,16,6.71,36,6,r,,G,
35,Dixie Valley,1954,12,16,7.17,50,15,ss,,W&C ,
36,San Miguel,1956,2,9,6.63,22,12,ss,,W&C ,
37,Aleutian,1957,3,9,8.6,1200,,r,x,1,
37,Aleutian,1957,3,9,8.6,850,,r,x,2,
38,San Francisco,1957,3,22,5.21,7,5,n,,W&C ,
39,Gobi-Altai,1957,12,4,8.14,300,20,ss,,W&C ,
40,Lituya Bay,1958,7,10,7.77,350,12,ss,x,W&C ,
41,Kuriles,1958,11,6,8.4,150,70,r,,S,
42,Hebgen Lake,1959,8,18,7.29,45,17,n,,W&C ,
43,Chile,1960,5,22,9.55,800,200,r,x,G,
43,Chile,1960,5,22,9.5,1000,210,r,x,S,
44,Kitamino,1961,8,19,6.6,12,10,r,,G,
45,Cache Valley,1962,8,30,5.78,7,8,n,,W&C ,
46,Wakasa-Bay,1963,3,26,6.28,20,8,ss,x,W&C ,
47,Wasaka Bay,1963,3,27,6.31,20,8,ss,,G,
48,Yugoslavi Skopje,1963,7,26,5.99,17,11,ss,,W&C ,
49,North Atlantic,1963,8,3,6.69,32,11,n,x,G,
50,Watsonville,1963,9,14,5.17,7,3.5,ss,,W&C ,
