time,mag,place,status,tsunami,sig,net,nst,dmin,rms,gap,magType,longitude,latitude,depth
13:20.0,3.91,"11km E of Ocotillo, CA",reviewed,0,235,ci,38.0,0.3748,0.23,159.0,ml,-115.88,32.7276667,14.617
54:52.5,2.34,Central California,automatic,0,84,nc,11.0,0.291,0.11,148.0,md,-118.6605,38.0168333,2.702
30:00.5,4.21,"61km ENE of Beatty, NV",reviewed,0,273,ci,18.0,,0.37,258.0,ml,-116.1216667,37.1126667,0.01
01:29.3,2.01,Central California,reviewed,0,62,nc,48.0,0.08919,0.07,56.0,md,-120.766,35.4685,4.868
20:45.6,2.0,"Puget Sound region, Washington",reviewed,0,62,uw,34.0,0.0673,0.21,40.0,md,-121.957,47.7078333,26.32
55:47.9,2.47,"14km NNE of Inyokern, CA",reviewed,0,94,ci,0.0,,0.24,62.1,ml,-117.747,35.762,-1.274
17:27.0,2.76,"1km SSE of Beatty, NV",reviewed,0,117,ci,0.0,,0.599,248.9,mc,-116.75,36.9,-1.513
25:30.2,3.13,"10km W of Maneadero, B.C., MX",reviewed,0,151,ci,0.0,,0.106,279.1,mc,-116.671,31.703,5.446
45:58.8,2.49,Central California,reviewed,0,95,nc,28.0,0.1315,0.13,65.0,md,-119.3743333,38.2278333,-2.104
38:22.3,2.01,"18km NE of Coachella, CA",reviewed,0,62,ci,0.0,,0.078,86.1,mc,-116.031,33.784,2.938
22:57.2,2.23,"11km WNW of Alberto Oviedo Mota, B.C., MX",reviewed,0,77,ci,18.0,0.1517,0.18,227.0,ml,-115.2786667,32.269,12.769
34:13.0,2.31,Northern California,reviewed,0,82,nc,43.0,0.06486,0.11,64.0,md,-121.7295,37.0425,11.011
55:00.0,2.72,"3km S of Finley, Washington",reviewed,0,114,uw,30.0,0.08542,0.18,107.0,ml,-119.0255,46.1223333,-0.193
28:58.2,2.5,Nevada,reviewed,0,96,nn,3.0,0.648,0.1342,127.42,ml,-118.8036,41.7979,0.0
52:38.5,3.2,Northern California,reviewed,0,158,nc,35.0,0.01351,0.04,41.0,ml,-122.7981667,38.821,3.45
37:59.3,2.68,Central California,reviewed,0,110,nc,10.0,0.07027,0.04,136.0,md,-120.5763333,36.0006667,3.2
39:43.6,2.2,"19km WSW of Ludlow, California",reviewed,0,74,ci,0.0,0.1583,0.078,82.1,mh,-116.354,34.672,1.648
42:38.0,2.5,"5km N of Yucca Valley, California",reviewed,0,96,ci,0.0,,0.167,78.8,mc,-116.425,34.157,7.607
20:26.0,2.16,"12km ENE of Barstow, California",reviewed,0,72,ci,0.0,,0.213,90.5,mc,-116.901,34.934,4.963
59:39.6,2.33,Central California,reviewed,0,84,nc,24.0,0.03153,0.03,83.0,md,-118.8451667,37.563,7.23
08:58.2,2.0,"7km WSW of Calipatria, CA",reviewed,0,62,ci,23.0,0.0633,0.2,88.0,mh,-115.576,33.0923333,8.05
45:53.4,2.43,"14km ESE of Santa Barbara Is., CA",reviewed,0,91,ci,0.0,,0.146,159.9,mc,-118.933,33.414,5.82
25:12.7,2.28,"San Francisco Bay area, California",reviewed,0,80,nc,59.0,0.002703,0.04,104.0,md,-122.4765,37.6348333,7.288
37:57.0,2.34,Northern California,reviewed,0,84,nc,17.0,0.09189,0.11,74.0,md,-122.4098333,40.629,22.468
14:00.5,2.6,"Seattle-Tacoma urban area, Washington",reviewed,0,104,uw,28.0,,0.13,45.0,md,-122.511,47.8241667,24.536
21:53.6,2.39,"13km S of Joshua Tree, California",reviewed,0,88,ci,0.0,0.0866,0.178,42.3,mc,-116.341,34.017,0.555
